Date,Open,High,Low,Close,Volume,Adj Close
2016-01-29,62.85,65.20,62.85,65.10,5264000,62.697
2016-01-28,63.10,63.30,62.65,63.15,2314900,60.819
2016-01-27,63.40,63.40,62.70,62.80,2133200,60.482
2016-01-26,63.00,63.35,62.80,62.85,2255700,60.53
2016-01-25,63.50,63.70,63.05,63.15,2339800,60.819
2016-01-22,62.95,63.70,62.55,63.20,3745700,60.867
2016-01-21,62.50,63.60,62.35,62.45,3817300,60.145
2016-01-20,63.95,63.95,62.45,62.50,4286900,60.193
2016-01-19,63.50,63.50,62.70,63.30,1982000,60.963
2016-01-18,62.95,63.45,62.80,62.90,2406600,60.578
2016-01-15,62.80,63.45,62.80,63.35,1915200,61.012
2016-01-14,62.90,63.40,62.85,63.10,3242900,60.771
2016-01-13,63.60,63.75,62.45,63.35,2632100,61.012
2016-01-12,63.45,63.65,62.75,62.80,2345500,60.482
2016-01-11,64.20,64.20,62.60,62.75,3890500,60.434
2016-01-08,64.05,64.75,63.90,63.90,3072700,61.541
2016-01-07,65.15,65.20,64.05,64.20,3989000,61.83
2016-01-06,64.90,65.10,64.55,64.70,1580700,62.312
2016-01-05,64.35,65.15,64.35,65.10,2378600,62.697
2016-01-04,65.45,65.80,64.50,64.80,3035200,62.408
2016-01-01,65.85,65.85,65.85,65.85,000,63.419
2015-12-31,65.45,66.00,65.45,65.85,1229600,63.419
2015-12-30,65.45,65.80,65.40,65.75,1908200,63.323
2015-12-29,64.70,65.40,64.70,65.25,1250100,62.841
2015-12-28,65.20,65.40,64.65,64.90,1164400,62.504
2015-12-25,65.30,65.30,65.30,65.30,000,62.89
2015-12-24,65.40,65.50,65.15,65.30,1205800,62.89
2015-12-23,65.00,65.30,64.85,65.05,1215200,62.649
2015-12-22,64.90,65.00,64.55,64.85,1638500,62.456
2015-12-21,64.65,65.10,64.30,64.40,2010300,62.023
2015-12-18,64.85,65.40,64.70,64.75,2960000,62.36
2015-12-17,64.80,65.45,64.40,65.35,2667000,62.938
2015-12-16,64.40,64.65,64.10,64.15,3723500,61.782
2015-12-15,64.15,64.60,64.15,64.40,2619400,62.023
2015-12-14,64.60,64.90,64.05,64.60,2412300,62.215
2015-12-11,65.05,65.40,64.70,64.80,2503200,62.408
2015-12-10,64.80,65.00,64.65,64.75,2453900,62.36
2015-12-09,64.55,64.95,64.25,64.30,1841500,61.927
2015-12-08,64.90,65.00,64.35,64.60,3510600,62.215
2015-12-07,65.20,65.40,64.85,65.20,1422000,62.793
2015-12-04,64.85,65.20,64.70,64.95,2693600,62.553
2015-12-03,65.00,65.40,64.85,65.00,1698700,62.601
2015-12-02,65.50,66.00,65.15,65.20,3646900,62.793
2015-12-01,65.10,66.10,65.10,66.00,3306800,63.034
2015-11-30,65.40,65.75,64.70,64.80,8042400,61.888
2015-11-27,66.40,66.40,65.35,65.40,3606700,62.461
2015-11-26,66.50,66.70,66.00,66.05,1849100,63.082
2015-11-25,66.15,66.40,65.80,66.00,2378600,63.034
2015-11-24,66.30,66.65,66.25,66.40,1500500,63.416
2015-11-23,66.50,66.80,66.30,66.75,1948100,63.75
2015-11-20,66.45,66.70,65.90,66.65,1843200,63.655
2015-11-19,65.70,66.40,65.70,66.35,1740500,63.368
2015-11-18,66.45,66.55,65.55,65.65,2669500,62.70
2015-11-17,65.80,66.50,65.70,66.45,10287000,63.464
2015-11-16,65.45,65.65,65.10,65.50,5477500,62.557
2015-11-13,66.15,66.40,65.50,65.70,2962400,62.748
2015-11-12,66.30,66.80,65.90,66.80,2318800,63.798
2015-11-11,65.65,66.25,65.15,65.95,1845800,62.986
2015-11-10,66.05,66.05,65.10,65.20,5034500,62.27
2015-11-09,66.25,66.60,66.10,66.15,2388500,63.177
2015-11-06,67.05,67.30,66.60,66.65,2357100,63.655
2015-11-05,67.55,67.95,67.10,67.30,1951400,64.276
2015-11-04,67.10,68.85,67.10,67.80,3899600,64.753
2015-11-03,67.15,67.40,66.80,67.20,2335700,64.18
2015-11-02,67.05,67.15,66.65,66.85,2360800,63.846
2015-10-30,67.60,68.00,67.25,67.50,3009700,64.467
2015-10-29,68.40,68.90,67.75,67.85,2395000,64.801
2015-10-28,68.45,68.95,68.45,68.80,1494200,65.708
2015-10-27,68.85,69.00,68.40,68.90,1980900,65.804
2015-10-26,69.20,69.20,68.40,68.50,1700400,65.422
2015-10-23,69.00,69.20,68.65,68.95,2767000,65.852
2015-10-22,68.30,68.95,68.05,68.85,2816000,65.756
2015-10-21,68.30,68.30,68.30,68.30,000,65.231
2015-10-20,68.00,68.50,68.00,68.30,1734700,65.231
2015-10-19,68.40,68.50,68.00,68.40,2001800,65.326
2015-10-16,68.20,68.30,67.80,68.25,2332600,65.183
2015-10-15,67.80,68.25,67.70,68.20,4319800,65.135
2015-10-14,67.10,67.65,67.10,67.60,2084900,64.562
2015-10-13,67.05,67.65,66.60,67.40,2796900,64.371
2015-10-12,66.75,67.00,66.40,66.95,2540000,63.941
2015-10-09,66.65,66.80,66.10,66.10,3878700,63.13
2015-10-08,66.85,67.15,66.15,66.20,4057600,63.225
2015-10-07,66.90,67.00,66.35,66.40,3901100,63.416
2015-10-06,67.25,67.25,66.10,66.55,3061000,63.559
2015-10-05,66.55,67.00,66.35,67.00,3230900,63.989
2015-10-02,66.65,66.65,65.75,66.30,3082000,63.321
2015-10-01,66.15,66.15,66.15,66.15,000,63.177
2015-09-30,64.65,66.20,64.65,66.15,3460400,63.177
2015-09-29,66.15,66.15,64.55,65.15,3568000,62.222
2015-09-28,65.50,65.50,65.50,65.50,000,62.557
2015-09-25,65.15,65.75,64.45,65.50,2358600,62.557
2015-09-24,65.20,65.40,64.85,65.00,2300600,62.079
2015-09-23,65.00,65.10,64.10,64.60,2889100,61.697
2015-09-22,65.05,65.70,64.90,65.00,1703200,62.079
2015-09-21,64.55,65.20,64.40,64.75,2189400,61.84
2015-09-18,64.70,65.60,64.70,65.05,3267000,62.127
2015-09-17,66.55,66.55,64.80,65.15,4811700,62.222
2015-09-16,65.10,66.35,65.10,66.10,5136600,63.13
2015-09-15,64.00,65.75,64.00,64.95,4233200,62.031
2015-09-14,64.90,64.90,64.00,64.45,1356600,61.554
2015-09-11,64.35,64.95,64.00,64.10,3297200,61.219
2015-09-10,65.30,65.30,64.30,64.40,2596300,61.506
2015-09-09,64.00,65.50,63.70,65.30,4650700,62.366
2015-09-08,62.80,64.25,62.00,64.10,3557000,61.219
2015-09-07,62.55,63.85,62.35,62.50,2954500,59.691
2015-09-04,63.30,63.30,62.30,62.40,2748300,59.596
2015-09-03,62.20,62.20,62.20,62.20,000,59.405
2015-09-02,63.40,63.40,62.10,62.20,3262900,59.405
2015-09-01,64.00,64.40,63.30,63.40,3222700,60.026
2015-08-31,64.15,64.45,63.60,64.15,3273100,60.736
2015-08-28,65.65,65.65,63.95,64.00,4155600,60.594
2015-08-27,64.45,64.95,63.80,64.50,3965400,61.067
2015-08-26,65.15,65.15,63.60,63.65,4205800,60.262
2015-08-25,63.00,64.15,62.20,63.05,7846600,59.694
2015-08-24,64.00,64.65,63.05,63.30,5280500,59.931
2015-08-21,65.50,65.55,64.95,64.95,4158800,61.493
2015-08-20,66.20,66.50,65.65,65.85,5252900,62.345
2015-08-19,67.30,67.30,66.25,66.30,3957100,62.771
2015-08-18,67.90,67.90,66.70,66.70,3843000,63.15
2015-08-17,67.40,67.85,67.35,67.75,3604300,64.144
2015-08-14,66.55,67.45,66.45,67.25,5217800,63.671
2015-08-13,66.20,66.60,65.80,66.15,3121200,62.629
2015-08-12,65.60,66.40,65.10,66.05,3956400,62.535
2015-08-11,65.90,66.00,65.10,65.20,2741700,61.73
2015-08-10,65.50,65.80,65.05,65.65,1991200,62.156
2015-08-07,65.55,65.90,65.55,65.75,1384000,62.251
2015-08-06,66.05,66.40,65.70,65.95,1730700,62.44
2015-08-05,66.70,66.70,66.05,66.20,1759700,62.677
2015-08-04,66.00,66.65,65.55,66.60,3653600,63.055
2015-08-03,65.65,66.15,65.55,65.75,1975200,62.251
2015-07-31,65.80,66.00,65.40,65.85,2084500,62.345
2015-07-30,65.35,65.90,65.30,65.35,1237600,61.872
2015-07-29,65.45,65.90,65.35,65.40,1429600,61.919
2015-07-28,65.35,66.00,64.90,65.65,3035000,62.156
2015-07-27,65.70,66.20,64.90,65.10,2498100,61.635
2015-07-24,65.95,66.20,65.45,65.75,2318800,62.251
2015-07-23,65.50,66.00,65.40,65.55,1065900,62.061
2015-07-22,66.10,66.10,65.45,65.55,2057900,62.061
