,Close,Volume,Percentage_close,Normalized_close,Normalized_volume,Lin_nor_volume
76,0.091,972000,0.0111111111111,-0.981219914798,9.72,0.00304979065635
77,0.094,4044000,0.032967032967,-0.979737276492,40.44,0.0126886351999
78,0.092,268000,-0.0212765957447,-0.980725702029,2.68,0.000840888781791
79,0.09,3084000,-0.0217391304348,-0.981714127566,30.84,0.00967649628001
80,0.09,3588000,0.0,-0.981714127566,35.88,0.0112578692129
81,0.091,6604000,0.0111111111111,-0.981219914798,66.04,0.0207210056528
82,0.093,1372000,0.021978021978,-0.980231489261,13.72,0.00430484853961
83,0.095,2460000,0.0215053763441,-0.979243063724,24.6,0.00771860598211
84,0.094,30740000,-0.0105263157895,-0.979737276492,307.4,0.0964511983293
85,0.1,11292000,0.063829787234,-0.976771999881,112.92,0.0354302840447
86,0.098,6180000,-0.02,-0.977760425418,61.8,0.0193906442965
87,0.098,6828000,0.0,-0.977760425418,68.28,0.0214238380674
88,0.096,0,-0.0204081632653,-0.978748850955,0.0,0.0
89,0.096,1740000,0.0,-0.978748850955,17.4,0.00545950179222
90,0.093,2788000,-0.03125,-0.980231489261,27.88,0.00874775344639
91,0.101,10820000,0.0860215053763,-0.976277787113,108.2,0.0339493157424
92,0.102,28208000,0.00990099009901,-0.975783574344,282.08,0.0885066819282
93,0.096,556000,-0.0588235294118,-0.978748850955,5.56,0.00174453045774
94,0.095,4952000,-0.0104166666667,-0.979243063724,49.52,0.0155376165949
95,0.094,1744000,-0.0105263157895,-0.979737276492,17.44,0.00547205237106
96,0.091,460000,-0.031914893617,-0.981219914798,4.6,0.00144331656576
97,0.091,7764000,0.0,-0.981219914798,77.64,0.0243606735143
98,0.084,5312000,-0.0769230769231,-0.984679404177,53.12,0.0166671686898
99,0.088,436000,0.047619047619,-0.982702553103,4.36,0.00136801309276
100,0.088,132000,0.0,-0.982702553103,1.32,0.000414169101479
101,0.087,668000,-0.0113636363636,-0.983196765872,6.68,0.00209594666506
102,0.087,148000,0.0,-0.983196765872,1.48,0.00046437141681
103,0.09,4704000,0.0344827586207,-0.981714127566,47.04,0.0147594807073
104,0.088,0,-0.0222222222222,-0.982702553103,0.0,0.0
105,0.088,320000,0.0,-0.982702553103,3.2,0.00100404630662
106,0.087,524000,-0.0113636363636,-0.983196765872,5.24,0.00164412582708
107,0.086,4880000,-0.0114942528736,-0.98369097864,48.8,0.0153117061759
108,0.091,6076000,0.0581395348837,-0.981219914798,60.76,0.0190643292469
109,0.094,5476000,0.032967032967,-0.979737276492,54.76,0.017181742422
110,0.098,0,0.0425531914894,-0.977760425418,0.0,0.0
111,0.098,6488000,0.0,-0.977760425418,64.88,0.0203570388666
112,0.094,47652000,-0.0408163265306,-0.979737276492,476.52,0.149515045634
113,0.085,3844000,-0.0957446808511,-0.984185191409,38.44,0.0120611062582
114,0.086,1692000,0.0117647058824,-0.98369097864,16.92,0.00530889484623
115,0.083,2308000,-0.0348837209302,-0.985173616946,23.08,0.00724168398647
116,0.086,1180000,0.0361445783133,-0.98369097864,11.8,0.00370242075565
